Time (min),s  (m) 61m,s (m) 122m,s (m) 244m
1,0.66,0.16,0.0046
1.5,0.87,0.27,0.02
2,0.99,0.38,0.04
2.5,1.11,0.46,0.07
3,1.21,0.53,0.09
4,1.36,0.67,0.16
5,1.49,0.77,0.22
6,1.59,0.87,0.27
8,1.75,0.99,0.37
10,1.86,1.12,0.46
12,1.97,1.21,0.53
14,2.08,1.26,0.59
18,2.20,1.43,0.72
24,2.36,1.58,0.87
30,2.49,1.70,0.95
40,2.65,1.88,1.12
50,2.78,2.00,1.23
60,2.88,2.11,1.32
80,3.04,2.24,1.49
100,3.16,2.38,1.62
120,3.28,2.49,1.70
150,3.42,2.62,1.83
180,3.51,2.72,1.94
210,3.61,2.81,2.03
240,3.67,2.88,2.11
